COUNTRY,REGION,VALUE,YEAR,ad_type
Cuba,Americas,no restrictions,2012,Beer
Cuba,Americas,no restrictions,2012,Wine
El Salvador,Americas,no restrictions,2012,Beer
Equatorial Guinea,Africa,no restrictions,2012,Beer
Fiji,Western Pacific,no restrictions,2012,Spirits
Finland,Europe,partial restriction content,2012,Beer
Germany,Europe,voluntary/self-restricted,2012,Spirits
Ghana,Africa,voluntary/self-restricted,2012,Beer
Guinea,Africa,no restrictions,2012,Spirits
Guinea-Bissau,Africa,no restrictions,2012,Spirits
Iceland,Europe,no restrictions,2012,Wine
Iceland,Europe,no restrictions,2012,Spirits
Israel,Europe,partial restriction content,2012,Wine
Israel,Europe,partial restriction content,2012,Spirits
Kazakhstan,Europe,no restrictions,2012,Wine
Kenya,Africa,no restrictions,2012,Wine
Kenya,Africa,no restrictions,2012,Spirits
Latvia,Europe,no restrictions,2012,Beer
Latvia,Europe,no restrictions,2012,Wine
Luxembourg,Europe,no restrictions,2012,Beer
Luxembourg,Europe,no restrictions,2012,Wine
Malta,Europe,no restrictions,2012,Beer
Malta,Europe,no restrictions,2012,Wine
Mexico,Americas,no restrictions,2012,Spirits
Micronesia (Federated States of),Western Pacific,partial restriction time/place,2012,Beer
Mozambique,Africa,no restrictions,2012,Spirits
Myanmar,South-East Asia,voluntary/self-restricted,2012,Beer
New Zealand,Western Pacific,voluntary/self-restricted,2012,Spirits
Nicaragua,Americas,no restrictions,2012,Beer
Norway,Europe,ban,2012,Wine
Norway,Europe,ban,2012,Spirits
Oman,Eastern Mediterranean,ban,2012,Spirits
Paraguay,Americas,partial restriction time/place,2012,Wine
Paraguay,Americas,partial restriction time/place,2012,Spirits
Rwanda,Africa,no restrictions,2012,Wine
Saint Kitts and Nevis,Americas,no restrictions,2012,Wine
Sao Tome and Principe,Africa,no restrictions,2012,Beer
Sao Tome and Principe,Africa,no restrictions,2012,Wine
Singapore,Western Pacific,no restrictions,2012,Beer
Singapore,Western Pacific,no restrictions,2012,Wine
South Africa,Africa,voluntary/self-restricted,2012,Beer
Spain,Europe,no restrictions,2012,Beer
Eswatini,Africa,no restrictions,2012,Spirits
Sweden,Europe,partial restriction content,2012,Beer
The former Yugoslav republic of Macedonia,Europe,ban,2012,Spirits
Timor-Leste,South-East Asia,no restrictions,2012,Beer
Trinidad and Tobago,Americas,no restrictions,2012,Spirits
Tunisia,Eastern Mediterranean,ban,2012,Spirits
Ukraine,Europe,no restrictions,2012,Wine
Ukraine,Europe,no restrictions,2012,Spirits
Uzbekistan,Europe,ban,2012,Wine
Uzbekistan,Europe,ban,2012,Spirits
Zambia,Africa,no restrictions,2012,Wine
Zimbabwe,Africa,ban,2012,Wine
Qatar,Eastern Mediterranean,,2012,Spirits
Nauru,Western Pacific,,2012,Spirits
Bahrain,Eastern Mediterranean,,2012,Beer
Marshall Islands,Western Pacific,,2012,Spirits
Samoa,Western Pacific,,2012,Spirits
Angola,Africa,voluntary/self-restricted,2012,Wine
Angola,Africa,voluntary/self-restricted,2012,Spirits
Austria,Europe,no restrictions,2012,Wine
Azerbaijan,Europe,partial restriction time/place/content,2012,Wine
Azerbaijan,Europe,partial restriction time/place/content,2012,Spirits
Belarus,Europe,no restrictions,2012,Beer
Belarus,Europe,no restrictions,2012,Wine
Bosnia and Herzegovina,Europe,no restrictions,2012,Beer
Bosnia and Herzegovina,Europe,no restrictions,2012,Wine
Burundi,Africa,no restrictions,2012,Beer
Burundi,Africa,no restrictions,2012,Wine
Cabo Verde,Africa,no restrictions,2012,Spirits
Central African Republic,Africa,no restrictions,2012,Beer
Comoros,Africa,no restrictions,2012,Spirits
Congo,Africa,no restrictions,2012,Beer
Cuba,Americas,no restrictions,2012,Spirits
Cyprus,Europe,voluntary/self-restricted,2012,Beer
Denmark,Europe,partial restriction time/place/content,2012,Wine
Denmark,Europe,partial restriction time/place/content,2012,Spirits
El Salvador,Americas,no restrictions,2012,Wine
El Salvador,Americas,no restrictions,2012,Spirits
Finland,Europe,partial restriction content,2012,Wine
Finland,Europe,ban,2012,Spirits
Germany,Europe,voluntary/self-restricted,2012,Wine
Ghana,Africa,voluntary/self-restricted,2012,Wine
Guinea-Bissau,Africa,no restrictions,2012,Beer
Guinea-Bissau,Africa,no restrictions,2012,Wine
India,South-East Asia,voluntary/self-restricted,2012,Beer
India,South-East Asia,voluntary/self-restricted,2012,Wine
Israel,Europe,partial restriction content,2012,Beer
Italy,Europe,partial restriction time/place/content,2012,Beer
Kazakhstan,Europe,no restrictions,2012,Spirits
